"Delete image","Видалити зображення"
"Delete image set","Видалити набір зображень"
"Image Set","Набір зображень"
"Category Image(s)","Зображення категорій"
"Multiple images can be grouped to an image set. An image set has a name for identification and may contain a small and a large version of each image.","Декілька зображень можуть бути об'єднані в набір зображень. Набір зображень має назву для ідентифікації і може містити маленьку та велику версії кожного зображення."
"Note: Image sets can be used for different purposes.","Зауваження: Набори зображень можуть використовуватися для різних цілей."
Images,Зображення
